NOME;EQUIPAMENTO;CONTRATO;ENDERECO;FLUXO_VEICULO;VELOCIDADE;LONGITUDE;LATITUDE
1;DEV;015/2011;AVENIDA ENGº ABDIAS CARVALHO - PROX N 101 - SENTIDO BR-232;29000;60;-34.935969;-8.063842
2;DEV;015/2011;AVENIDA ENGº ABDIAS CARVALHO - PROX N 101 - SENTIDO BR-232;34000;60;-34.935493;-8.06364
3;DEV;015/2011;AV MAL MASCARENHAS DE MORAES - PROX AEROPORTO - SENTIDO PRAZERES;64000;60;-34.915644;-8.130088
4;DEV;015/2011;AV MAL MASCARENHAS DE MORAES - PROX AEROPORTO - SENTIDO PRAZERES;64000;60;-34.915615;-8.129942
5;DEV;015/2011;AV MAL MASCARENHAS DE MORAES - PROX AEROPORTO - SENTIDO PRAZERES;64000;60;-34.915856;-8.130059
6;DEV;015/2011;AV MAL MASCARENHAS DE MORAES - PROX AEROPORTO - SENTIDO PRAZERES;64000;60;-34.915409;-8.129972
7;DEV;015/2011;AV BOA VIAGEM - PROX N 102;43000;60;-34.882100;-8.091903
8;DEV;015/2011;TERCEIRO JARDIM/BOA VIAGEM;43000;60;-34.888333;-8.107912
9;DEV;015/2011;LARGO DO CABANGA - SENTIDO BOA VIAGEM;43000;60;-34.89203;-8.079941
10;DEV;015/2011;LARGO DO CABANGA - SENTIDO DERBY;57000;60;-34.8909;-8.0796
11;DEV;015/2011;PQ DONA LINDU;39000;60;-34.908242;-8.153316
12;DEV;015/2011;PQ DONA LINDU;39000;60;-34.909143;-8.153146
13;DEV;015/2011;AV GOV AGAMENON MAGALHÃES  - ANTES DO VIADUTO DA AV NORTE;57000;60;-34.885609;-8.042742
14;DEV;015/2011;AV GOV AGAMENON MAGALHÃES  - ANTES DO VIADUTO DA AV NORTE;57000;60;-34.885792;-8.042588
15;DEV;015/2011;AV GOV AGAMENON MAGALHÃES - PROX VD STO AMARO - SENTIDO BOA VIAGEM;63000;60;-34.883233;-8.041134
16;DEV;015/2011;AV GOV AGAMENON MAGALHÃES - PROX VD STO AMARO - SENTIDO BOA VIAGEM;63000;60;-34.883171;-8.041261
17;DEV;015/2011;AVENIDA RECIFE - PROX N 3968 - SENTIDO BOA VIAGEM;37000;60;-34.928881;-8.093734
18;DEV;015/2011;AVENIDA RECIFE - PROX N 3968 - SENTIDO CEASA;40000;60;-34.928884;-8.093051
19;TOTEM;015/2011;AV GENERAL SAN MARTIN - 1864 - SENTIDO JD SAO PAULO;25184;40;-34.928369;-8.066368
20;TOTEM;015/2011;AV GENERAL SAN MARTIN - 1864 - SENTIDO ABDIAS;25904;40;-34.927242;-8.066442
21;TOTEM;015/2011;AVENIDA MAURICIO DE NASSAU - 276 - SENT CENTRO;19000;40;-34.928236;-8.038265
22;TOTEM;015/2011;AVENIDA MAURICIO DE NASSAU - 276 - SENT BR-101;19000;40;-34.929667;-8.038163
23;TOTEM;015/2011;AV AFONSO OLINDENSE - PROX N 996 - SENTIDO AV CAXANGÁ;14000;40;-34.957116;-8.038186
24;TOTEM;015/2011;AV AFONSO OLINDENSE - PROX N 996 - SENTIDO CIDADE UNIVERSITARIA;14000;40;-34.95804;-8.038461
25;TOTEM;015/2011;;;40;-34.87156;-8.063776
26;TOTEM;015/2011;;;40;-34.871651;-8.063755
27;LINCE;015/2011;RUA ARQUITETO LUIS NUNES X RUA DEOLINDO TAVARES;31000;;-34.90984;-8.088319
28;LINCE;015/2011;RUA ARQUITETO LUIS NUNES X RUA DEOLINDO TAVARES;31000;;-34.910666;-8.08824
29;LINCE;015/2011;AV CONS AGUIAR - N 1350 CONJUNTO PERNAMBUCANO;40000;;-34.886865;-8.101214
30;LINCE;015/2011;AV CONS AGUIAR - N 1350 CONJUNTO PERNAMBUCANO;40000;;-34.886825;-8.101212
31;LINCE;015/2011;;;;-34.903259;-8.041367
32;LINCE;015/2011;;;;-34.884059;-8.08816
33;LINCE;015/2011;;;;-34.884285;-8.074541
34;LINCE;015/2011;;;;-34.877642;-8.071604
35;LINCE;015/2011;;;;-34.87362;-8.0635
